8.893646347934e-01+4.179713186693e-01j; 1.702516562485e-01+1.183070499392e-01j; 1.402577487072e-01-8.119133250750e-02j; 9.674784957216e-01+5.240131963290e-02j
8.887542971024e-01+4.152681325887e-01j; 1.692059116997e-01+1.177546956805e-01j; 1.401139720405e-01-8.088092768159e-02j; 9.664176813892e-01+5.749364649944e-02j
8.882303540041e-01+4.123887846647e-01j; 1.681826500422e-01+1.172160237544e-01j; 1.399865549925e-01-8.058072439171e-02j; 9.653089994372e-01+6.254740193620e-02j
8.877913136347e-01+4.093349344526e-01j; 1.671836325117e-01+1.166923303917e-01j; 1.398757756900e-01-8.029080061861e-02j; 9.641535227243e-01+6.755978129854e-02j
8.874355542564e-01+4.061082646035e-01j; 1.662105722578e-01+1.161848856151e-01j; 1.397818943964e-01-8.001122255432e-02j; 9.629523833975e-01+7.252802376443e-02j
8.871613286481e-01+4.027104813807e-01j; 1.652651311219e-01+1.156949307534e-01j; 1.397051532053e-01-7.974204457548e-02j; 9.617067709191e-01+7.744941461083e-02j
8.869667686434e-01+3.991433153295e-01j; 1.643489165162e-01+1.152236760052e-01j; 1.396457757518e-01-7.948330923000e-02j; 9.604179299906e-01+8.232128739626e-02j
8.868498898097e-01+3.954085220899e-01j; 1.634634784093e-01+1.147722980582e-01j; 1.396039669452e-01-7.923504723706e-02j; 9.590871583794e-01+8.714102604586e-02j
8.868085962614e-01+3.915078833416e-01j; 1.626103064255e-01+1.143419377679e-01j; 1.395799127207e-01-7.899727750037e-02j; 9.577158046541e-01+9.190606683558e-02j
8.868406855995e-01+3.874432078688e-01j; 1.617908270606e-01+1.139336979009e-01j; 1.395737798116e-01-7.877000713465e-02j; 9.563052658330e-01+9.661390027244e-02j
8.869438539711e-01+3.832163327331e-01j; 1.610064010221e-01+1.135486409461e-01j; 1.395857155423e-01-7.855323150523e-02j; 9.548569849547e-01+1.012620728682e-01j
8.871157012417e-01+3.788291245437e-01j; 1.602583206968e-01+1.131877869997e-01j; 1.396158476422e-01-7.834693428076e-02j; 9.533724485738e-01+1.058481888041e-01j
8.873537362734e-01+3.742834808107e-01j; 1.595478077521e-01+1.128521117276e-01j; 1.396642840805e-01-7.815108749873e-02j; 9.518531841914e-01+1.103699114846e-01j
8.876553823013e-01+3.695813313706e-01j; 1.588760108741e-01+1.125425444079e-01j; 1.397311129225e-01-7.796565164394e-02j; 9.503007576234e-01+1.148249649783e-01j
8.880179824031e-01+3.647246398705e-01j; 1.582440036469e-01+1.122599660602e-01j; 1.398164022070e-01-7.779057573955e-02j; 9.487167703166e-01+1.192111353453e-01j
8.884388050523e-01+3.597154052987e-01j; 1.576527825787e-01+1.120052076628e-01j; 1.399201998461e-01-7.762579745070e-02j; 9.471028566170e-01+1.235262718492e-01j
8.889150497501e-01+3.545556635491e-01j; 1.571032652753e-01+1.117790484631e-01j; 1.400425335458e-01-7.747124320047e-02j; 9.454606809972e-01+1.277682880545e-01j
8.894438527282e-01+3.492474890065e-01j; 1.565962887673e-01+1.115822143833e-01j; 1.401834107496e-01-7.732682829808e-02j; 9.437919352510e-01+1.319351628070e-01j
8.900222927151e-01+3.437929961407e-01j; 1.561326079924e-01+1.114153765264e-01j; 1.403428186031e-01-7.719245707902e-02j; 9.420983356598e-01+1.360249410996e-01j
8.906473967589e-01+3.381943410971e-01j; 1.557128944355e-01+1.112791497837e-01j; 1.405207239413e-01-7.706802305698e-02j; 9.403816201396e-01+1.400357348228e-01j
8.913161460996e-01+3.324537232704e-01j; 1.553377349303e-01+1.111740915475e-01j; 1.407170732975e-01-7.695340908746e-02j; 9.386435453732e-01+1.439657234005e-01j
8.920254820834e-01+3.265733868518e-01j; 1.550076306230e-01+1.111007005326e-01j; 1.409317929352e-01-7.684848754254e-02j; 9.368858839356e-01+1.478131543128e-01j
8.927723121104e-01+3.205556223352e-01j; 1.547229961009e-01+1.110594157068e-01j; 1.411647889010e-01-7.675312049695e-02j; 9.351104214183e-01+1.515763435070e-01j
8.935535156101e-01+3.144027679741e-01j; 1.544841586874e-01+1.110506153352e-01j; 1.414159471002e-01-7.666715992488e-02j; 9.333189535590e-01+1.552536756982e-01j
8.943659500353e-01+3.081172111748e-01j; 1.542913579038e-01+1.110746161382e-01j; 1.416851333946e-01-7.659044790740e-02j; 9.315132833829e-01+1.588436045624e-01j
8.952064568671e-01+3.017013898190e-01j; 1.541447450995e-01+1.111316725667e-01j; 1.419721937217e-01-7.652281685022e-02j; 9.296952183614e-01+1.623446528230e-01j
8.960718676228e-01+2.951577935021e-01j; 1.540443832511e-01+1.112219761953e-01j; 1.422769542363e-01-7.646408971146e-02j; 9.278665675951e-01+1.657554122351e-01j
8.969590098590e-01+2.884889646810e-01j; 1.539902469303e-01+1.113456552345e-01j; 1.425992214733e-01-7.641408023918e-02j; 9.260291390250e-01+1.690745434689e-01j
8.978647131609e-01+2.816974997187e-01j; 1.539822224407e-01+1.115027741640e-01j; 1.429387825325e-01-7.637259321826e-02j; 9.241847366794e-01+1.723007758958e-01j
8.987858151099e-01+2.747860498202e-01j; 1.540201081227e-01+1.116933334876e-01j; 1.432954052847e-01-7.633942472653e-02j; 9.223351579600e-01+1.754329072808e-01j
8.997191672212e-01+2.677573218499e-01j; 1.541036148264e-01+1.119172696103e-01j; 1.436688385987e-01-7.631436239951e-02j; 9.204821909745e-01+1.784698033843e-01j
9.006616408422e-01+2.606140790233e-01j; 1.542323665512e-01+1.121744548380e-01j; 1.440588125896e-01-7.629718570376e-02j; 9.186276119179e-01+1.814103974770e-01j
9.016101330026e-01+2.533591414668e-01j; 1.544059012500e-01+1.124646975004e-01j; 1.444650388879e-01-7.628766621824e-02j; 9.167731825096e-01+1.842536897725e-01j
9.025615722089e-01+2.459953866385e-01j; 1.546236717977e-01+1.127877421969e-01j; 1.448872109284e-01-7.628556792346e-02j; 9.149206474893e-01+1.869987467801e-01j
9.035129241730e-01+2.385257496053e-01j; 1.548850471202e-01+1.131432701649e-01j; 1.453250042603e-01-7.629064749799e-02j; 9.130717321767e-01+1.896447005839e-01j
9.044611974661e-01+2.309532231714e-01j; 1.551893134838e-01+1.135308997710e-01j; 1.457780768765e-01-7.630265462209e-02j; 9.112281400978e-01+1.921907480504e-01j
9.054034490899e-01+2.232808578530e-01j; 1.555356759400e-01+1.139501871229e-01j; 1.462460695622e-01-7.632133228790e-02j; 9.093915506829e-01+1.946361499713e-01j
9.063367899543e-01+2.155117616977e-01j; 1.559232599246e-01+1.144006268029e-01j; 1.467286062633e-01-7.634641711598e-02j; 9.075636170390e-01+1.969802301435e-01j
9.072583902545e-01+2.076490999436e-01j; 1.563511130067e-01+1.148816527198e-01j; 1.472252944732e-01-7.637763967771e-02j; 9.057459637993e-01+1.992223743928e-01j
